objectid,elect_div,area_sqkm,sortname,globalid,e_div_numb,numccds,actual,projected,total_popu,australian,Shape__Area,Shape__Length
97,Lyons,31973.48,Lyons,b03868a1-8944-40ec-bb9a-fae264f12a01,5,318,0,0,0,0,58148138223.0938,3261720.86035086
98,Aston,113.79,Aston,fb9e75fa-9248-41ad-8706-c31663c42991,1,377,111098,115439,0,0,183087355.382812,93072.394955915
99,Ballarat,5398.86,Ballarat,ec05eeae-2036-471d-9b17-2248e6527758,2,340,106745,115696,0,0,8620565581.39844,684361.434650257
100,Bendigo,5285.02,Bendigo,0798e6a7-7fad-483b-b552-bef6a0e8f88c,3,351,108821,117818,0,0,8278048006.13672,658473.558936429
101,Bruce,114.62,Bruce,03aa61fc-7307-47d6-9a15-d5b1ea7b282d,4,450,112619,116317,0,0,184901984.5,77491.5473297336
102,Calwell,221.04,Calwell,0d718b26-744b-48b3-82e0-9f1830818189,5,314,99781,116976,0,0,352614299.664062,118694.698373416
103,Casey,2480.69,Casey,16eb37a2-861d-4216-83a9-5c4d64c4dc50,6,425,114652,119870,0,0,3971069287.35156,462089.198534723
104,Chisholm,76.67,Chisholm,6573d2d1-e82e-49bc-9727-2d15b6a4217a,7,416,108703,113388,0,0,123240880.453125,60272.2138269056
105,Cooper,59.41,Cooper,d1dccbe3-c16c-4f44-bca6-fbe9cc1006e8,8,341,109021,115519,0,0,95164104.765625,71860.495303268
106,Corangamite,1506.29,Corangamite,6444c020-596c-42cc-a765-73c3cf4df29b,9,263,102213,121041,0,0,2442058392.50781,439223.977701371
107,Corio,773.26,Corio,1e05bb60-d71a-4e35-b653-6fccd411eb7a,10,378,110886,117383,0,0,1246831988.17188,270168.290820879
108,Deakin,84.56,Deakin,27e8f9d1-577f-46e3-9bc1-a2b8f4e47bed,11,390,113602,117874,0,0,135704712.492188,70857.913395473
109,Dunkley,152.89,Dunkley,f375995c-633d-493f-a65e-7e480a3a5b41,12,368,111277,114591,0,0,247447421.3125,77969.9922994266
110,Flinders,871.22,Flinders,1c7d5b3f-1f6b-4807-ac5a-f117b2dc7d5e,13,337,112085,117374,0,0,1605130531.8125,288840.911483153
111,Fraser,88.42,Fraser,42f3e0b4-8abe-4e32-897c-2cfb2ba738f8,14,395,110937,116440,0,0,141772935.242188,64966.2980622989
112,Gellibrand,146.05,Gellibrand,bf7b342a-902c-4c31-be1a-d77283f5f4ba,15,337,105930,117361,0,0,234562972.523438,100526.061975987
113,Gippsland,33131.11,Gippsland,4b5a8092-4594-4c7d-938c-1c9d9b934cbf,16,399,111875,116288,0,0,53169455271.5312,1516903.4357621
114,Goldstein,50.67,Goldstein,070783b9-05ae-44b0-b1d7-d2059f9ac091,17,339,109554,115856,0,0,81571287.2578125,47283.1083475089
115,Gorton,217.27,Gorton,e6a5a766-ebff-4d77-ad8e-6d2404e77e07,18,369,106192,116508,0,0,347969972.5625,105076.373405072
116,Hawke,1841.75,Hawke,b1ddd580-197b-492a-95ae-095651b625d5,19,297,102921,117105,0,0,2941490676.88281,415308.379721447
117,Higgins,39.49,Higgins,4adf6ce9-d69f-4454-b3a0-4f1141d70561,20,338,108459,114331,0,0,63446396.8984375,44387.5979179489
118,Holt,257.84,Holt,ff45d083-8d4b-4781-af28-4fe601182b1a,21,301,100923,120236,0,0,417666783.96875,113982.045373365
119,Hotham,78.11,Hotham,f5f1766f-3ce2-4a42-b416-bd7c27c9c4a5,22,422,115226,120530,0,0,125662146.25,56377.6440368917
120,Indi,29187.45,Indi,6a7a0e19-31c2-4f17-8bf9-e5d41d886326,23,414,113715,118758,0,0,45535507417.1172,1726151.6203716
121,Isaacs,155.81,Isaacs,b494dc32-eb0f-40d3-83ca-10aedddd7384,24,358,109823,117413,0,0,251415633.164062,84180.6520046367
122,Jagajaga,125.97,Jagajaga,23ebf740-c163-4e78-9c19-2471cb371abd,25,381,114328,118508,0,0,201551327.398438,121364.80831196
123,Kooyong,58.61,Kooyong,87bdd61d-bffd-42d3-81a0-b4a2d21a738d,26,382,113962,119909,0,0,93864844.359375,59325.7940635266
124,La Trobe,1326.98,La Trobe,333ec003-9a61-402d-bbe9-4835ba76f894,27,278,99301,120137,0,0,2145295221.26562,267936.22000795
125,Lalor,463.78,Lalor,09b81186-a092-4166-8a8a-e4816fe6101e,28,337,100493,116592,0,0,745722654.726562,137271.02248446
126,Macnamara,40.23,Macnamara,a5395e4f-c9ee-4e62-b93e-594dfc412285,29,368,109508,116276,0,0,64642166.9921875,57277.4131708703
127,Mallee,83411.92,Mallee,029fe685-57db-4d81-b0c8-38bbbfa88458,30,489,119582,118663,0,0,127317095951.492,2601947.64998021
128,Maribyrnong,97.87,Maribyrnong,aa8ee711-9944-465d-b8fd-82f6a2715df1,31,362,109869,116598,0,0,156651756.796875,100095.881644755
129,McEwen,2676.25,McEwen,c87f777f-389a-4c86-ba60-1cc27312b22b,32,300,101104,116913,0,0,4250904007.8125,518393.139346959
130,Melbourne,40.07,Melbourne,c8ef7a6b-3387-4441-8fee-519711323fd3,33,344,108204,119625,0,0,64273936.234375,47832.2959986176
131,Menzies,137.31,Menzies,b9c55a86-f2ec-4981-8a7d-9d76a901044d,34,396,112514,118193,0,0,220089346.3125,104463.279352475
132,Monash,8255.15,Monash,65f24c0a-521c-416a-9618-81e780602d19,35,325,104357,113386,0,0,13444984705.1641,1332559.30291279
133,Nicholls,14772.67,Nicholls,fa70081d-adeb-48be-a4a4-1703cefdae86,36,418,112149,114674,0,0,22863033621.2812,1340882.93947887
134,Scullin,116.35,Scullin,bd584cf5-e6f1-454e-8bf1-3713dd7f342a,37,372,107312,116741,0,0,185810578.179688,86518.4153142754
135,Wannon,33595.18,Wannon,20770a83-9a5f-40b7-a408-c62ad79ec1f1,38,440,113161,113987,0,0,54034718042.4219,1605174.83876814
136,Wills,46.44,Wills,ded54352-8214-48d8-8431-581c7dda8693,39,348,108904,116877,0,0,74299002.953125,51681.2361071889
137,Brand,377.75,Brand,ed7049fb-7e7a-4cad-8dcd-3abe60ae29bc,1,354,110508,119561,0,0,530261648.394531,170430.343899041
138,Burt,189.91,Burt,38a572c0-b615-4f76-b8df-24d2132ef8b6,2,363,105989,113126,0,0,265387234.910156,92688.7574857929
139,Canning,4245.32,Canning,9114c370-c546-4663-9af7-01ea60adc89b,3,353,107779,115455,0,0,6176815404.77734,462940.20875678
140,Cowan,94.61,Cowan,9b186f95-6d03-4dc8-9be4-1c7b50c650dd,4,417,118704,119491,0,0,131581968.113281,56501.3591564177
141,Curtin,97.95,Curtin,d327989e-8229-4286-b154-7c0dc7220c57,5,378,114494,118531,0,0,151829435.019531,64499.4586578465
142,Durack,1383954.39,Durack,c6aa0fb1-8daa-4c14-bb71-f13997a214b0,6,587,114330,112764,0,0,1634105177450.89,23717164.6388903
143,Forrest,8014.34,Forrest,166142b8-0ea8-4f8c-83ec-7803dfcba939,7,381,106307,112928,0,0,11601865977.8242,928261.540191031
144,Fremantle,194.13,Fremantle,1d7c5683-87dc-4417-8fc1-2f12ae4c5a52,8,331,109269,115628,0,0,276165398.449219,125442.94655654
145,Hasluck,1323.34,Hasluck,42d04786-6325-4888-a411-04e2e912092b,9,383,110414,119538,0,0,1840265462.91016,247662.059937776
146,Moore,102.19,Moore,5de54532-ef3a-4c12-b6b4-80d58dc20ccf,10,401,115269,117309,0,0,142202965.992188,69184.1826250628
147,O'Connor,1126936.75,O'Connor,7566c7bd-6cf6-4c11-8f65-43b7298507c4,11,543,114035,113375,0,0,1484542509125.18,7792618.48861082
148,Pearce,782.75,Pearce,4d4c3dc1-475f-4569-9c24-233fa9a98f20,12,345,106306,118884,0,0,1082878745.63672,178932.247609907
149,Perth,79.92,Perth,7afa22f5-9fb6-4c02-9ea6-3b3e7451b250,13,394,116242,118518,0,0,117990255.574219,64107.5135098788
150,Swan,150.89,Swan,6031e184-44df-4f28-bb29-7b1af6d63959,14,418,114942,117373,0,0,222888887.019531,85911.8587755799
151,Tangney,101.97,Tangney,b41e3a20-dade-4f05-a4dd-ec1755f5e408,15,411,117986,120085,0,0,156967020.132812,71851.6252686174
